,fighter1,fighter2,winner,weight_class,title_fight,method,end_round,figth_year,attended,fight_coutry,win_fighter1,lose_fighter1,draw_fighter1,nc_fighter1,height_fighter1,reach_fighter1,stance_fighter1,SLpM_fighter1,Str_Acc_fighter1,SApM_fighter1,Str_Def_fighter1,TD_Avg_fighter1,TD_Acc_fighter1,TD_Def_fighter1,Sub_Avg_fighter1,win%_fighter1,born_year_fighter1,win_fighter2,lose_fighter2,draw_fighter2,nc_fighter2,height_fighter2,reach_fighter2,stance_fighter2,SLpM_fighter2,Str_Acc_fighter2,SApM_fighter2,Str_Def_fighter2,TD_Avg_fighter2,TD_Acc_fighter2,TD_Def_fighter2,Sub_Avg_fighter2,win%_fighter2,born_year_fighter2
0,Santiago Ponzinibbio,Neil Magny,1,Welterweight,f,KO/TKO,4,2018,10245.0, Argentina,28,3,0,0,"6' 0""","73""",Orthodox,4.27,39.0,4.02,64.0,0.54,44.0,60.0,0.0,90.32258,1986,21,8,0,0,"6' 3""","80""",Orthodox,3.86,46.0,2.22,56.0,2.62,46.0,60.0,0.3,72.413795,1987
1,Ricardo Lamas,Darren Elkins,1,Featherweight,f,KO/TKO,3,2018,10245.0, Argentina,19,7,0,0,"5' 8""","71""",Orthodox,2.87,45.0,2.61,59.0,1.66,32.0,47.0,1.0,73.07692,1982,25,7,0,0,"5' 10""","71""",Orthodox,3.36,37.0,2.83,53.0,2.68,35.0,57.0,1.3,78.125,1984
2,Johnny Walker,Khalil Rountree Jr.,1,Light Heavyweight,f,KO/TKO,1,2018,10245.0, Argentina,15,3,0,0,"6' 5""","82""",Orthodox,5.37,70.0,3.36,25.0,0.89,100.0,100.0,2.6,83.333336,1992,8,2,0,2,"6' 1""","76""",Southpaw,2.3,34.0,3.29,38.0,0.0,0.0,50.0,0.3,66.666664,1990
3,Cezar Ferreira,Ian Heinisch,0,Middleweight,f,DEC,3,2018,10245.0, Argentina,14,7,0,0,"6' 1""","78""",Southpaw,1.83,42.0,2.14,55.0,2.97,59.0,90.0,0.5,66.666664,1985,12,1,0,0,"5' 11""",,Orthodox,3.49,58.0,1.67,52.0,0.81,14.0,50.0,1.6,92.30769,1988
4,Marlon Vera,Guido Cannetti,1,Bantamweight,f,SUB,2,2018,10245.0, Argentina,12,5,1,0,"5' 8""","70""",Switch,3.23,44.0,3.93,52.0,0.78,37.0,68.0,1.3,66.666664,1992,8,5,0,0,"5' 6""","68""",Southpaw,2.8,52.0,1.95,51.0,2.8,50.0,75.0,0.3,61.53846,1979
5,Cynthia Calvillo,Poliana Botelho,1,Women's Strawweight,f,SUB,1,2018,10245.0, Argentina,7,1,0,0,"5' 4""","64""",Orthodox,3.41,38.0,3.1,66.0,2.02,53.0,69.0,2.6,87.5,1987,7,2,0,0,"5' 8""",,Orthodox,4.03,59.0,2.51,50.0,0.74,100.0,88.0,0.0,77.77778,1988
6,Bartosz Fabinski,Michel Prazeres,0,Welterweight,f,SUB,1,2018,10245.0, Argentina,14,3,0,0,"6' 0""","75""",Orthodox,2.22,70.0,1.35,53.0,7.17,70.0,80.0,0.0,82.35294,1986,26,2,0,0,"5' 6""","67""",Orthodox,2.59,47.0,2.32,60.0,4.22,38.0,47.0,0.7,92.85714,1981
7,Ulka Sasaki,Alexandre Pantoja,0,Flyweight,f,SUB,1,2018,10245.0, Argentina,21,6,2,0,"5' 10""","71""",Southpaw,2.16,41.0,2.5,50.0,3.03,43.0,41.0,1.2,72.413795,1989,20,3,0,0,"5' 5""","67""",Orthodox,4.31,46.0,3.38,59.0,0.75,50.0,60.0,1.8,86.95652,1990
8,Humberto Bandenay,Austin Arnett,0,Featherweight,f,DEC,3,2018,10245.0, Argentina,14,6,0,1,"5' 11""",,Southpaw,2.3,39.0,5.22,39.0,1.87,66.0,71.0,0.9,66.666664,1994,16,5,0,0,"6' 0""","72""",Orthodox,4.35,42.0,5.93,62.0,0.56,18.0,40.0,0.3,76.190475,1991
9,Hector Aldana,Laureano Staropoli,0,Welterweight,f,DEC,3,2018,10245.0, Argentina,4,3,0,0,"5' 11""","72""",Orthodox,4.36,41.0,5.21,62.0,1.21,100.0,0.0,0.0,57.142857,1988,8,1,0,0,"6' 0""",,Orthodox,6.47,35.0,4.6,59.0,0.0,0.0,0.0,0.0,88.888885,1993
